,2022-09-08 15:21:44.918342,super@admin.com,,[],default.jpg,,,,superadmin,0000,Super admin
10,2022-09-08 15:46:15.748569,burnaboi@unkown.com,1000000,[],027929b9c4c2d514.jpg,20,"Ikeja, Lagos","Abuja, President House.",unknown,23432,Burna Boi
,2022-09-12 08:59:25.055477,janet@jackson.music,,[],default.jpg,,,,AbaLnE8D7IA,09012345678,Janet Jackson
,2022-09-12 09:09:08.776011,basic@admin.com,,[],default.jpg,,,,basicadmin,09080,Basic Admin
,2022-09-12 09:10:41.970925,manager@admin.com,,[],default.jpg,,,,manageradmin,090123445,Project Manager
,2022-09-12 09:12:59.074187,super2@admin.com,,[],default.jpg,,,,8QEtJNjDEmE,000111222,Super admin 2
20 ,2022-09-14 11:40:43.839201,jordan@nba.com,10000000,['Python Programming'],default.jpg,Basketballer,none,none,XR-K6M7wryw,1999,Micahel Jordan
,2022-09-14 13:15:27.376030,js@got.com,,[],default.jpg,,,,zNen19RmfpM,123321,John Snow
,2022-09-14 13:15:53.042734,mike@got.com,,[],default.jpg,,,,YxxzhKrDDwQ,2343243,Michael Pain
,2022-09-15 11:55:32.042330,sdssafd@marvel.com,,[],,,,,ssdasddfsdf,sfdsasdfs,Richaddsrd
,2022-09-15 11:55:32.046833,somesd1@no.one,,[],,,,,soasdasmething,0213903239,sosadsameone
,2022-09-29 10:46:59.270054,richy@value.com,,['Python Programming'],default.jpg,,,,Z8iedn7p6pw,12332,Richard Valuemax
,2022-09-29 11:53:46.166846,bura@bura.member,,['Hockey'],default.jpg,,,,aKSQ_LNROyQ,21321,Bura bura 
,2022-10-05 09:42:41.402979,indomie@noodles.com,,['Hockey'],default.jpg,,,,J16sZWqLTWo,090909,Indomie PLC
,2022-10-05 12:04:34.670060,noodle@mimi.com,,['Javelin'],default.jpg,,,,HJMsclyeP0o,34234,Mimi Instant noodles
,2022-10-05 12:53:18.180955,ihii@tyufuy.com,,[],default.jpg,,,,Tpj3fLNYzIY,8979879,kuhu
,2022-10-05 12:55:05.781270,ihsdfii@tyufuy.com,,"['Basketball', 'Hockey', 'Javelin']",default.jpg,,,,a-GdWigU2NA,897987998989,kuhudsf
,2022-10-05 12:58:58.310402,rwer@gdgf.vgh,,"['Python Programming', 'Basketball']",default.jpg,,,,iIXYX49oDpo,433432432,rodejayi
